seed,model_key,model,model_group,epoch,loss,bce_loss,rank_loss,lr,early_stopping_metric,early_stopping_score,best_score_so_far,patience_counter,valid_auc,valid_ap,valid_pos_mean_score,valid_neg_mean_score,valid_mrr,valid_hits@1,valid_hits@3,valid_hits@5,valid_hits@10
42,gcn,GCN,gnn_model,1,1.339737892150879,1.0397305488586426,1.000024676322937,0.003,mrr,0.14744803406848353,0.14744803406848353,0,0.5443622827282173,0.6066002348817177,0.005068229511380196,0.0032351501286029816,0.14744803406848353,0.047418967587034816,0.14405762304921968,0.2262905162064826,0.3547418967587035
42,gcn,GCN,gnn_model,5,1.2982637882232666,1.0236828327178955,0.9152699112892151,0.003,mrr,0.16969294995863768,0.16969294995863768,0,0.5686644405661424,0.6295787230838938,0.5112279653549194,0.35041654109954834,0.16969294995863768,0.06182472989195678,0.18067226890756302,0.258703481392557,0.3949579831932773
42,gcn,GCN,gnn_model,10,1.2806836366653442,1.0184727907180786,0.8740360736846924,0.003,mrr,0.16740027633880986,0.16969294995863768,0,0.5990500642033524,0.642196435626404,0.34371474385261536,0.21526987850666046,0.16740027633880986,0.06182472989195678,0.1758703481392557,0.2581032412965186,0.39735894357743096
42,gcn,GCN,gnn_model,15,1.2267467975616455,0.9908025860786438,0.7864807844161987,0.003,mrr,0.15199132381223013,0.16969294995863768,5,0.6186655934882956,0.6431330609740689,0.1785135120153427,3.3814794733189046e-05,0.15199132381223013,0.05222088835534214,0.15966386554621848,0.23289315726290516,0.3487394957983193
42,gcn,GCN,gnn_model,20,1.158800482749939,0.9429799318313599,0.7194018959999084,0.003,mrr,0.14805281676717139,0.16969294995863768,10,0.6488952123466434,0.6613900539198667,0.09028653800487518,-0.317165732383728,0.14805281676717139,0.0546218487394958,0.14705882352941177,0.21428571428571427,0.3397358943577431
42,gcn,GCN,gnn_model,25,1.1403390169143677,0.9346826076507568,0.6855212450027466,0.003,mrr,0.15999611782848214,0.16969294995863768,15,0.6494334828769444,0.6691937787822525,0.21582302451133728,-0.41688302159309387,0.15999611782848214,0.060024009603841535,0.14945978391356543,0.24369747899159663,0.382953181272509
42,gcn,GCN,gnn_model,30,1.1070555448532104,0.9148836731910706,0.6405729651451111,0.003,mrr,0.1682296923809897,0.16969294995863768,20,0.6874889211386835,0.6929932654092736,0.24930362403392792,-0.2788403332233429,0.1682296923809897,0.06182472989195678,0.1638655462184874,0.2617046818727491,0.39915966386554624
42,gcn,GCN,gnn_model,35,1.0716015100479126,0.8868160843849182,0.6159512400627136,0.003,mrr,0.1860689592114897,0.1860689592114897,25,0.7273947994563972,0.7295555422736317,0.12875810265541077,-0.45833829045295715,0.1860689592114897,0.07683073229291716,0.18667466986794717,0.27791116446578634,0.421968787515006
42,gcn,GCN,gnn_model,40,1.0174216032028198,0.8458820581436157,0.5717983245849609,0.003,mrr,0.18455626745082207,0.1860689592114897,0,0.7255933585919361,0.7293727996882705,0.51432865858078,-0.712607741355896,0.18455626745082207,0.07503001200480192,0.18007202881152462,0.2743097238895558,0.4255702280912365
42,gcn,GCN,gnn_model,45,0.9524186849594116,0.8005000352859497,0.5063955783843994,0.003,mrr,0.19192428929899963,0.19192428929899963,5,0.7303952793602435,0.7274879435407609,0.4911976158618927,-0.9682683348655701,0.19192428929899963,0.07983193277310924,0.19207683073229292,0.2887154861944778,0.43517406962785116
42,gcn,GCN,gnn_model,50,0.9666354656219482,0.8072514533996582,0.5312799215316772,0.003,mrr,0.19032713754114128,0.19192428929899963,0,0.7428709779229818,0.7413216379490876,0.3139795660972595,-0.9520776867866516,0.19032713754114128,0.07563025210084033,0.19207683073229292,0.2965186074429772,0.4375750300120048
42,gcn,GCN,gnn_model,55,0.9509435296058655,0.7982131242752075,0.5091012716293335,0.003,mrr,0.1994673247470364,0.1994673247470364,5,0.7460818661197973,0.7473797995450266,0.3794715702533722,-0.8563728332519531,0.1994673247470364,0.08463385354141657,0.20228091236494597,0.3067226890756303,0.44237695078031214
42,gcn,GCN,gnn_model,60,0.907960057258606,0.7685878276824951,0.46457400918006897,0.003,mrr,0.20263156093434498,0.20263156093434498,0,0.7432763021174856,0.7424808185485118,0.4037324786186218,-1.0597667694091797,0.20263156093434498,0.0894357743097239,0.20408163265306123,0.3079231692677071,0.4447779111644658
42,gcn,GCN,gnn_model,65,0.9194719791412354,0.7755337357521057,0.4797942340373993,0.003,mrr,0.20061594534532629,0.20263156093434498,0,0.7530901916588965,0.7512023848867878,0.32961300015449524,-1.2933051586151123,0.20061594534532629,0.08703481392557023,0.1998799519807923,0.3007202881152461,0.4459783913565426
42,gcn,GCN,gnn_model,70,0.9057716131210327,0.7645314931869507,0.47080036997795105,0.003,mrr,0.20414341064209035,0.20414341064209035,5,0.7543007599198144,0.7519450149869669,0.3462720811367035,-1.234454870223999,0.20414341064209035,0.08763505402160865,0.21668667466986793,0.3037214885954382,0.45438175270108044
42,gcn,GCN,gnn_model,75,0.9173463582992554,0.7733796238899231,0.4798892140388489,0.003,mrr,0.20861573566026145,0.20861573566026145,0,0.7562920726513895,0.7544942782892736,0.4090237319469452,-1.229740858078003,0.20861573566026145,0.09303721488595439,0.21668667466986793,0.3037214885954382,0.45858343337334934
42,gcn,GCN,gnn_model,80,0.8964852690696716,0.7594506740570068,0.4567820131778717,0.003,mrr,0.21029210431743256,0.21029210431743256,0,0.760829181612621,0.7582288609071246,0.48343130946159363,-1.1769853830337524,0.21029210431743256,0.09483793517406963,0.22148859543817526,0.3025210084033613,0.45738295318127253
42,gcn,GCN,gnn_model,85,0.873557984828949,0.7400625944137573,0.4449845850467682,0.003,mrr,0.2098737576984967,0.21029210431743256,0,0.7612543216566339,0.7560914758576038,0.3928373456001282,-1.3179068565368652,0.2098737576984967,0.09603841536614646,0.21428571428571427,0.3013205282112845,0.4639855942376951
42,gcn,GCN,gnn_model,90,0.8423544764518738,0.7182797789573669,0.41358238458633423,0.003,mrr,0.21404500377612873,0.21404500377612873,5,0.7697347846701705,0.7653827229951313,0.574144721031189,-1.3565794229507446,0.21404500377612873,0.09903961584633854,0.21968787515006002,0.31512605042016806,0.47058823529411764
42,gcn,GCN,gnn_model,95,0.8683825731277466,0.7355217337608337,0.44286954402923584,0.003,mrr,0.2192732954327862,0.2192732954327862,0,0.7736898480880947,0.7706558131568153,0.3803636133670807,-1.4207043647766113,0.2192732954327862,0.10084033613445378,0.2334933973589436,0.32593037214885956,0.47959183673469385
42,gcn,GCN,gnn_model,100,0.7866652011871338,0.6813753247261047,0.35096633434295654,0.003,mrr,0.228583754516239,0.228583754516239,0,0.7801305396108024,0.7798855688972808,0.41683149337768555,-1.5796399116516113,0.228583754516239,0.10804321728691477,0.24489795918367346,0.3403361344537815,0.4957983193277311
42,gcn,GCN,gnn_model,105,0.851333737373352,0.7259000539779663,0.41811224818229675,0.003,mrr,0.23397448445617441,0.23397448445617441,0,0.7876584006952121,0.7866530726284128,0.5261527895927429,-1.6833302974700928,0.23397448445617441,0.10984393757503001,0.25990396158463386,0.3469387755102041,0.5024009603841537
42,gcn,GCN,gnn_model,110,0.8416982889175415,0.7163708806037903,0.41775795817375183,0.003,mrr,0.25036154482440653,0.25036154482440653,0,0.7994873819876089,0.7978275496664863,0.5130310654640198,-1.4600023031234741,0.25036154482440653,0.12004801920768307,0.2743097238895558,0.38415366146458585,0.5342136854741897
42,gcn,GCN,gnn_model,115,0.804237961769104,0.6945040225982666,0.3657798171043396,0.003,mrr,0.2508671543141464,0.2508671543141464,0,0.8043916245970177,0.7990076602214568,0.6844500303268433,-1.5874823331832886,0.2508671543141464,0.1212484993997599,0.27911164465786314,0.37815126050420167,0.5366146458583433
