split,model,mrr,hits@1,hits@3,hits@5,hits@10,auc,ap
valid,popularity_baseline,0.17167159168323654,0.07262905162064826,0.1758703481392557,0.25930372148859543,0.3865546218487395,,
test,popularity_baseline,0.16528027903140483,0.06842737094837935,0.17707082833133253,0.24429771908763506,0.3559423769507803,,
valid,tfidf_text_similarity_baseline,0.7819743824559235,0.7136854741896759,0.8169267707082833,0.8703481392557023,0.924969987995198,,
test,tfidf_text_similarity_baseline,0.7880538737912708,0.7220888355342137,0.8247298919567827,0.8673469387755102,0.9243697478991597,,
valid,enhanced_semantic_graph_fusion_gat,0.585676991365717,0.45138055222088835,0.6716686674669868,0.7617046818727491,0.843937575030012,0.9251076180772428,0.9344936364512287
test,enhanced_semantic_graph_fusion_gat,0.5815611140701852,0.44417767106842737,0.673469387755102,0.7569027611044418,0.8379351740696278,0.9198247125981245,0.9321809500143909
